"target_file","target_section","command","value","module","application_bucket","fps_delta_percent","quality_risk","apply_status","notes"
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Nanite.FastVisBufferClear","1","Nanite","low_risk_default_candidate","2.20","Low: visual output should be equivalent.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","r.SceneColorFringeQuality","0","Post Processing","low_risk_default_candidate","4.81","Low: disables chromatic aberration; often improves clarity","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Bloom.AsyncCompute","1","Post Processing / Bloom","low_risk_default_candidate","0.99","Low: runs FFT bloom on async compute where active. Visual output should be equivalent, but async contention can hurt.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","AntiAliasingQuality@0;AntiAliasingQuality@1;AntiAliasingQuality@2;AntiAliasingQuality@3;AntiAliasingQuality@Cine","r.TemporalAA.Quality","1","Anti Aliasing / TSR","medium_risk_candidate","7.33","Medium: lowers temporal AA quality. Can reduce anti-aliasing cost but may increase shimmer, ghosting, or edge instability.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","AntiAliasingQuality@0;AntiAliasingQuality@1;AntiAliasingQuality@2;AntiAliasingQuality@3;AntiAliasingQuality@Cine","r.TSR.History.UpdateQuality","1","Anti Aliasing / TSR","medium_risk_candidate","5.87","Medium: lowers TSR history update shader quality. May reduce cost but can reduce reconstruction stability on motion/highlights.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","AntiAliasingQuality@0;AntiAliasingQuality@1;AntiAliasingQuality@2;AntiAliasingQuality@3;AntiAliasingQuality@Cine","r.TSR.RejectionAntiAliasingQuality","1","Anti Aliasing / TSR","medium_risk_candidate","10.40","Medium: lowers TSR rejection anti-aliasing quality. Can reduce reconstruction cost but may increase jagged rejected-history areas and shimmer.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","AntiAliasingQuality@0;AntiAliasingQuality@1;AntiAliasingQuality@2;AntiAliasingQuality@3;AntiAliasingQuality@Cine","r.TSR.ReprojectionField","0","Anti Aliasing / TSR","medium_risk_candidate","5.46","Medium: disables TSR reprojection field. Can save cost but may reduce upscale vector/reprojection quality around disocclusion and thin geometry.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","r.AmbientOcclusionMaxQuality","50","GI / Ambient Occlusion","medium_risk_candidate","3.38","Medium: clamps screen-space ambient occlusion quality and can reduce crevice/contact darkening detail, especially if SSAO contributes alongside Lumen.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","r.AmbientOcclusionRadiusScale","0.5","GI / Ambient Occlusion","medium_risk_candidate","1.13","Medium: reduces ambient occlusion radius scale. Can reduce AO cost/extent but may weaken broad contact shading.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","ScalabilitySectionReviewRequired","foliage.LODDistanceScale","0.5","Landscape / Foliage","medium_risk_candidate","2.93","Medium: changes foliage LOD distance scaling. Can reduce foliage vertex cost but may increase visible LOD transitions.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","ScalabilitySectionReviewRequired","foliage.MinimumScreenSize","0.0000075","Landscape / Foliage","medium_risk_candidate","2.33","Medium: raises foliage screen-size culling threshold. Can improve distant foliage cost but may remove small/far instances.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine","r.Lumen.ScreenProbeGather.ShortRangeAO.DownsampleFactor","2","Lumen / GI","medium_risk_candidate","8.81","Medium: downsamples Lumen short-range AO. Can improve GI/AO cost but may soften contact occlusion and near-field grounding.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Lumen.Reflections.BilateralFilter.KernelRadius","4","Lumen / Reflections","medium_risk_candidate","1.30","Medium: lowers/sets screen-space reflection spatial filter kernel radius. Can reduce filtering cost but may change reflection noise/detail.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Lumen.Reflections.DenoiserTonemapRange","5","Lumen / Reflections","medium_risk_candidate","0.74","Medium: lowers reflection denoiser tonemap range. Can reduce firefly/high-intensity handling cost but may affect bright reflections.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Lumen.Reflections.DownsampleCheckerboard","1","Lumen / Reflections","medium_risk_candidate","3.17","Medium: uses checkerboard downsampling for Lumen reflections when downsampled. Can improve cost but may affect reflection detail/stability.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Lumen.Reflections.ScreenSpaceReconstruction.KernelRadius","4","Lumen / Reflections","medium_risk_candidate","1.74","Medium: lowers screen-space reconstruction kernel radius for Lumen reflections. Can reduce cost but may affect reflection filtering.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Nanite.RasterSort","0","Nanite","medium_risk_candidate","5.44","Medium: disables sorting of Nanite rasterizer dispatches/draws. Can reduce sort overhead but may hurt rendering efficiency depending on scene.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.PathTracing.Denoiser.Prepass.RankedLuminanceVariance","1","Path Tracing / Denoiser","medium_risk_candidate","7.40","Medium: changes Path Tracing denoiser prepass luminance variance ranking. It can alter path-traced denoising/noise/detail balance; treat as offline/path-tracing visual review only.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","r.DepthOfFieldQuality","1","Post Processing","medium_risk_candidate","4.30","Medium: simpler DOF; may affect cinematics and focus blur","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","r.MotionBlurQuality","0","Post Processing","medium_risk_candidate","4.80","Medium: disables motion blur; improves clarity but removes cinematic blur","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","r.Tonemapper.Quality","2","Post Processing","medium_risk_candidate","7.27","Medium: can change final color/film/grain/vignette behavior","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","r.DOF.Kernel.MaxForegroundRadius","0.0125","Post Processing / Depth of Field","medium_risk_candidate","3.36","Medium: halves maximum foreground blur radius. Can reduce DOF cost but changes foreground blur strength.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine","r.Fog.SeparateComposition","0","Post Processing / Fog","medium_risk_candidate","6.63","Medium: forces fog separate composition off. Can reduce render target/upscale overhead but may alter height fog, volumetric fog, or local fog composition quality.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine","r.SSS.SampleSet","1","Post Processing / SSS","medium_risk_candidate","0.73","Medium: reduces screen-space subsurface scattering sample set. Can reduce SSS cost but may add banding or lower quality on skin/subsurface materials.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine","r.SSS.Scale","0.5","Post Processing / SSS","medium_risk_candidate","3.75","Medium: reduces screen-space subsurface scattering strength. Can reduce visible SSS contribution and may alter skin/subsurface material look.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","ScalabilitySectionReviewRequired","r.VolumetricFog.Filtering.Quality","0","Post Processing / Volumetric Fog","medium_risk_candidate","8.09","Medium: switches volumetric fog filtering to lower quality/trilinear path. Can reduce cost but may affect fog smoothness.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Reflections.Denoiser.ReconstructionSamples","4","Reflections","medium_risk_candidate","3.62","Medium: lowers reflection denoiser reconstruction sample count from default 8 to 4. May improve cost but can reduce denoising stability.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine","r.Shadow.DistanceScale","0.8","Shadows","medium_risk_candidate","5.39","Medium: reduces dynamic shadow distance, improving cost when distant shadows are present but can visibly remove far shadows.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine","r.Shadow.MaxCSMResolution","2048","Shadows","medium_risk_candidate","1.83","Medium: caps CSM shadow map resolution. Can reduce shadow cost but may soften directional-light shadows.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine","r.Shadow.MaxResolution","2048","Shadows","medium_risk_candidate","1.32","Medium: caps shadow map resolution; can soften high-detail shadows and reduce aliasing stability depending on light setup.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine","r.Shadow.PreShadowResolutionFactor","0.5","Shadows","medium_risk_candidate","3.60","Medium: lowers preshadow resolution. Can improve shadow cost but may reduce quality on preshadowed objects.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Shadow.Virtual.Clipmap.FirstCoarseLevel","15","Shadows / Virtual Shadow Map","medium_risk_candidate","1.68","Medium: starts VSM coarse page marking farther out. Can reduce near-camera page pressure but may affect systems relying on coarse shadow pages.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Shadow.Virtual.Clipmap.LastCoarseLevel","9","Shadows / Virtual Shadow Map","medium_risk_candidate","1.29","Medium: shortens VSM coarse page marking range. Can reduce page counts but may affect far coarse shadow information.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine","r.Shadow.Virtual.ResolutionLodBiasLocalMoving","1","Shadows / Virtual Shadow Map","medium_risk_candidate","0.68","Medium: halves moving local-light VSM resolution relative to default. Can reduce moving local shadow cost but may soften or alias moving-light shadows.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","FoliageQuality@0;FoliageQuality@1;FoliageQuality@2;FoliageQuality@3;FoliageQuality@Cine","foliage.DensityScale","0.8","Landscape / Foliage","quality_tradeoff_or_lower_tier_only","5.89","High: visible vegetation density loss","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine","r.LumenScene.SurfaceCache.AtlasSize","2048","Lumen / GI","quality_tradeoff_or_lower_tier_only","10.16","High: reduces Lumen surface cache atlas size. Can save memory/GPU work but risks lower indirect lighting detail and cache quality.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine","r.LumenScene.SurfaceCache.CardTexelDensityScale","50","Lumen / GI","quality_tradeoff_or_lower_tier_only","9.06","High: reduces Lumen card texel density. Can save surface cache cost/memory but may visibly lower indirect lighting detail.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine","r.Lumen.HardwareRayTracing.HitLighting.Allowed","0","Lumen / Ray Tracing","quality_tradeoff_or_lower_tier_only","4.82","High: disables Lumen hardware ray tracing hit lighting path where used; can reduce lighting/reflection accuracy and should be reviewed in reflective/interior scenes.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine","r.DetailMode","1","Materials","quality_tradeoff_or_lower_tier_only","7.37","High: hides actors/components assigned to higher detail modes. Can boost performance if the map uses detail-mode gating, but can remove scene dressing.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine","r.MaterialQualityLevel","0","Materials","quality_tradeoff_or_lower_tier_only","8.02","High: switches materials using quality switches to low quality. Can improve shader cost only if project materials use quality branches, but may visibly remove expensive material features.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine","r.Shadow.CSM.MaxCascades","1","Shadows","quality_tradeoff_or_lower_tier_only","2.85","High: reduces directional-light CSM cascade count. Can improve shadow cost but may visibly reduce shadow coverage and transition quality.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultEngine.ini","[ConsoleVariables]","r.Shadow.Preshadows","0","Shadows","quality_tradeoff_or_lower_tier_only","0.57","High: disables preshadows, including static world casting onto characters. Can improve cost but may visibly remove character/object shadowing detail.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","TextureQuality@0;TextureQuality@1;TextureQuality@2;TextureQuality@3;TextureQuality@Cine","r.Streaming.MaxEffectiveScreenSize","1","Texture Streaming","quality_tradeoff_or_lower_tier_only","0.88","High: clamps effective screen size for texture streaming. Can strongly reduce mip demand but may visibly blur textures.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","ScalabilitySectionReviewRequired","foliage.CullDistanceScale","0.5","Landscape / Foliage","visual_review_candidate","3.03","Medium/High: reduces foliage cull distance scale where foliage types opt in. Can improve cost but may remove distant foliage.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine","r.Lumen.ScreenProbeGather.NumAdaptiveProbes","4","Lumen / GI","visual_review_candidate","9.58","Medium/High: reduces adaptive Lumen probes. Can improve GI cost but may lose indirect lighting detail in difficult areas.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine","r.LumenScene.DirectLighting.MaxLightsPerTile","4","Lumen / GI","visual_review_candidate","8.17","Medium/High: limits Lumen surface-cache direct lights per tile. Can improve cost in many-light scenes but may drop lower-priority direct-light contribution.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","r.DOF.Gather.RingCount","2","Post Processing / Depth of Field","visual_review_candidate","0.58","Medium/High: reduces DOF gather kernel ring count from the typical high-quality value. May visibly simplify bokeh blur.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","ReflectionQuality@0;ReflectionQuality@1;ReflectionQuality@2;ReflectionQuality@3;ReflectionQuality@Cine","r.SSR.Quality","1","Reflections","visual_review_candidate","5.19","Medium/High: lowers screen-space reflection quality; may no-op or be less visible if Lumen reflections dominate, but reflective materials need review.","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
"Config/DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3","r.ContactShadows","0","Shadows","visual_review_candidate","3.36","Medium/High: reduces small grounding/contact shadow detail","applied_after_manual_review_excluding_two_commands","Applied to Default after user manual review; r.AmbientOcclusionLevels and r.Lumen.TranslucencyVolume.Enable were excluded."
