"module","command","value","fps_delta_percent","baseline_fps","test_fps","quality_risk","visual_review_required","config_target","in_scalability","adoption_status","recommendation","quality_impact","notes"
"Landscape / Foliage","foliage.DensityScale","0.8","5.89","103.61","109.71","High: visible vegetation density loss","true","DefaultScalability.ini FoliageQuality lower tiers","true","lower_foliage_tier_only","quality_tradeoff_review_only","High: visible vegetation density loss","Useful for lower tiers or performance mode, not a high-quality default without visual approval."
"Landscape / Foliage","foliage.CullDistanceScale","0.5","3.03","60.11","61.93","Medium/High: reduces foliage cull distance scale where foliage types opt in. Can improve cost but may remove distant foliage.","true","DefaultScalability.ini foliage lower tiers or DeviceProfile","false","foliage_cull_distance_quality_tradeoff_visual_review_required","quality_tradeoff_review_only","Medium/High: reduces foliage cull distance scale where foliage types opt in. Can improve cost but may remove distant foliage.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Landscape / Foliage","foliage.LODDistanceScale","0.5","2.93","59.97","61.73","Medium: changes foliage LOD distance scaling. Can reduce foliage vertex cost but may increase visible LOD transitions.","true","DefaultScalability.ini foliage lower tiers or DeviceProfile","false","foliage_lod_distance_quality_tradeoff_visual_review_required","candidate_after_strict_visual_review","Medium: changes foliage LOD distance scaling. Can reduce foliage vertex cost but may increase visible LOD transitions.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Landscape / Foliage","foliage.MinimumScreenSize","0.0000075","2.33","60.63","62.04","Medium: raises foliage screen-size culling threshold. Can improve distant foliage cost but may remove small/far instances.","true","DefaultScalability.ini foliage lower tiers or DeviceProfile","false","foliage_screen_size_cull_quality_tradeoff_visual_review_required","candidate_after_strict_visual_review","Medium: raises foliage screen-size culling threshold. Can improve distant foliage cost but may remove small/far instances.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Landscape / Foliage","foliage.MaxOcclusionQueriesPerComponent","8","1.91","58.24","59.35","Low/Medium: reduces foliage occlusion query granularity. Can reduce query overhead but may reduce culling precision.","true","Runtime console or DeviceProfile if adopted","false","foliage_occlusion_query_tradeoff_visual_review_required","candidate_after_visual_review","Low/Medium: reduces foliage occlusion query granularity. Can reduce query overhead but may reduce culling precision.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / GI","r.LumenScene.SurfaceCache.AtlasSize","2048","10.16","124.39","137.03","High: reduces Lumen surface cache atlas size. Can save memory/GPU work but risks lower indirect lighting detail and cache quality.","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","true","lumen_surface_cache_tradeoff_candidate_visual_review_required","quality_tradeoff_review_only","High: reduces Lumen surface cache atlas size. Can save memory/GPU work but risks lower indirect lighting detail and cache quality.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / GI","r.Lumen.ScreenProbeGather.NumAdaptiveProbes","4","9.58","118.01","129.32","Medium/High: reduces adaptive Lumen probes. Can improve GI cost but may lose indirect lighting detail in difficult areas.","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","true","lumen_probe_tradeoff_candidate_visual_review_required","quality_tradeoff_review_only","Medium/High: reduces adaptive Lumen probes. Can improve GI cost but may lose indirect lighting detail in difficult areas.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / GI","r.LumenScene.SurfaceCache.CardTexelDensityScale","50","9.06","109.88","119.83","High: reduces Lumen card texel density. Can save surface cache cost/memory but may visibly lower indirect lighting detail.","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","true","lumen_surface_cache_tradeoff_candidate_visual_review_required","quality_tradeoff_review_only","High: reduces Lumen card texel density. Can save surface cache cost/memory but may visibly lower indirect lighting detail.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / GI","r.Lumen.ScreenProbeGather.ShortRangeAO.DownsampleFactor","2","8.81","106.15","115.50","Medium: downsamples Lumen short-range AO. Can improve GI/AO cost but may soften contact occlusion and near-field grounding.","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","true","lumen_ao_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: downsamples Lumen short-range AO. Can improve GI/AO cost but may soften contact occlusion and near-field grounding.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / GI","r.LumenScene.DirectLighting.MaxLightsPerTile","4","8.17","111.49","120.60","Medium/High: limits Lumen surface-cache direct lights per tile. Can improve cost in many-light scenes but may drop lower-priority direct-light contribution.","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","true","lumen_direct_lighting_tradeoff_candidate_visual_review_required","quality_tradeoff_review_only","Medium/High: limits Lumen surface-cache direct lights per tile. Can improve cost in many-light scenes but may drop lower-priority direct-light contribution.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Ray Tracing","r.Lumen.HardwareRayTracing.HitLighting.Allowed","0","4.82","110.31","115.63","High: disables Lumen hardware ray tracing hit lighting path where used; can reduce lighting/reflection accuracy and should be reviewed in reflective/interior scenes.","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","true","lumen_rt_quality_tradeoff_candidate_visual_review_required","quality_tradeoff_review_only","High: disables Lumen hardware ray tracing hit lighting path where used; can reduce lighting/reflection accuracy and should be reviewed in reflective/interior scenes.","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"Lumen / Reflections","r.Lumen.Reflections.DownsampleCheckerboard","1","3.17","69.16","71.35","Medium: uses checkerboard downsampling for Lumen reflections when downsampled. Can improve cost but may affect reflection detail/stability.","true","Runtime console or user setting if adopted","false","lumen_reflection_quality_tradeoff_visual_review_required","candidate_after_strict_visual_review","Medium: uses checkerboard downsampling for Lumen reflections when downsampled. Can improve cost but may affect reflection detail/stability.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Reflections","r.Lumen.Reflections.ScreenSpaceReconstruction.KernelRadius","4","1.74","64.21","65.33","Medium: lowers screen-space reconstruction kernel radius for Lumen reflections. Can reduce cost but may affect reflection filtering.","true","Runtime console or user setting if adopted","false","lumen_reflection_reconstruction_tradeoff_visual_review_required","candidate_after_strict_visual_review","Medium: lowers screen-space reconstruction kernel radius for Lumen reflections. Can reduce cost but may affect reflection filtering.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Reflections","r.Lumen.Reflections.BilateralFilter.KernelRadius","4","1.30","58.26","59.02","Medium: lowers/sets screen-space reflection spatial filter kernel radius. Can reduce filtering cost but may change reflection noise/detail.","true","Runtime console or lower scalability tier if adopted","false","lumen_reflection_bilateral_filter_tradeoff_visual_review_required","candidate_after_strict_visual_review","Medium: lowers/sets screen-space reflection spatial filter kernel radius. Can reduce filtering cost but may change reflection noise/detail.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Reflections","r.Lumen.Reflections.DenoiserTonemapRange","5","0.74","56.99","57.41","Medium: lowers reflection denoiser tonemap range. Can reduce firefly/high-intensity handling cost but may affect bright reflections.","true","Runtime console or lower scalability tier if adopted","false","lumen_reflection_denoiser_range_tradeoff_visual_review_required","candidate_after_strict_visual_review","Medium: lowers reflection denoiser tonemap range. Can reduce firefly/high-intensity handling cost but may affect bright reflections.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Scheduling","r.Lumen.AsyncCompute","1","1.03","67.23","67.92","Low: enables Lumen async compute scheduling where supported. Visual output should be equivalent, but async contention can hurt.","true","Runtime console or user setting if adopted","false","lumen_async_compute_candidate_visual_review_required","candidate_for_default_after_quick_visual_spotcheck","Low: enables Lumen async compute scheduling where supported. Visual output should be equivalent, but async contention can hurt.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Translucency","r.Lumen.TranslucencyVolume.Enable","0","0.94","126.05","127.23","Medium/High: disables Lumen translucency volume lighting. Can improve cost in translucent/foggy scenes but may reduce GI quality on translucent volumes.","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","true","lumen_translucency_tradeoff_candidate_visual_review_required","quality_tradeoff_review_only","Medium/High: disables Lumen translucency volume lighting. Can improve cost in translucent/foggy scenes but may reduce GI quality on translucent volumes.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Materials","r.MaterialQualityLevel","0","8.02","124.89","134.91","High: switches materials using quality switches to low quality. Can improve shader cost only if project materials use quality branches, but may visibly remove expensive material features.","true","DefaultScalability.ini EffectsQuality lower tiers","true","material_quality_tradeoff_candidate_visual_review_required","quality_tradeoff_review_only","High: switches materials using quality switches to low quality. Can improve shader cost only if project materials use quality branches, but may visibly remove expensive material features.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Materials","r.DetailMode","1","7.37","125.58","134.84","High: hides actors/components assigned to higher detail modes. Can boost performance if the map uses detail-mode gating, but can remove scene dressing.","true","DefaultScalability.ini EffectsQuality lower tiers","true","detail_mode_tradeoff_candidate_visual_review_required","quality_tradeoff_review_only","High: hides actors/components assigned to higher detail modes. Can boost performance if the map uses detail-mode gating, but can remove scene dressing.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Nanite","r.Nanite.RasterSort","0","5.44","94.54","99.68","Medium: disables sorting of Nanite rasterizer dispatches/draws. Can reduce sort overhead but may hurt rendering efficiency depending on scene.","true","Runtime console or DeviceProfile if adopted","false","nanite_raster_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: disables sorting of Nanite rasterizer dispatches/draws. Can reduce sort overhead but may hurt rendering efficiency depending on scene.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Nanite","r.Nanite.FastVisBufferClear","1","2.20","55.03","56.24","Low: visual output should be equivalent.","true","Runtime console or DeviceProfile if adopted","false","nanite_fast_vis_buffer_clear_candidate_visual_review_required","candidate_for_default_after_quick_visual_spotcheck","Low: visual output should be equivalent.","Recovered from valid FPSChart logs after outer shell timeout. Visual review required before project config adoption."
"Path Tracing / Denoiser","r.PathTracing.Denoiser.Prepass.RankedLuminanceVariance","1","7.40","128.76","138.24","Medium: changes Path Tracing denoiser prepass luminance variance ranking. It can alter path-traced denoising/noise/detail balance; treat as offline/path-tracing visual review only.","true","DefaultEngine.ini [/Script/Engine.RendererSettings]","false","repeated_pair_quality_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: changes Path Tracing denoiser prepass luminance variance ranking. It can alter path-traced denoising/noise/detail balance; treat as offline/path-tracing visual review only.","Repeated-pair multi-process result on <BenchmarkMap>: +7.40% median FPS, pair deltas 8.26% and 6.53%. Path Tracing denoiser setting; keep as visual-review quality/performance tradeoff, not a low-risk realtime default."
"Post Processing","r.Tonemapper.Quality","2","7.27","122.47","131.37","Medium: can change final color/film/grain/vignette behavior","true","DefaultScalability.ini","true","candidate_visual_review_required","candidate_after_strict_visual_review","Medium: can change final color/film/grain/vignette behavior","Strong paired FPS gain; compare final color grading before adoption."
"Post Processing","r.LensFlareQuality","0","7.11","123.12","131.87","Low/Medium: removes lens flare styling","true","DefaultScalability.ini","true","candidate_visual_review_required","candidate_after_visual_review","Low/Medium: removes lens flare styling","Strong paired FPS gain. Usually acceptable if project does not rely on lens-flare look."
"Post Processing","r.SceneColorFringeQuality","0","4.81","104.63","109.66","Low: disables chromatic aberration; often improves clarity","true","DefaultScalability.ini","true","candidate_if_clearer_image_preferred","candidate_for_default_after_quick_visual_spotcheck","Low: disables chromatic aberration; often improves clarity","Likely good for clarity-focused presentation; still needs screenshot comparison."
"Post Processing","r.MotionBlurQuality","0","4.80","103.42","108.38","Medium: disables motion blur; improves clarity but removes cinematic blur","true","DefaultScalability.ini or user quality setting","true","candidate_if_clarity_preferred","candidate_after_strict_visual_review","Medium: disables motion blur; improves clarity but removes cinematic blur","Measured with paired A/B same-process. Good candidate for low/medium quality tiers or a user option after visual review."
"Post Processing","r.DepthOfFieldQuality","1","4.30","114.56","119.49","Medium: simpler DOF; may affect cinematics and focus blur","true","DefaultScalability.ini lower tiers or user quality setting","true","candidate_visual_review_required","candidate_after_strict_visual_review","Medium: simpler DOF; may affect cinematics and focus blur","Good FPS gain, but GPU frametime did not drop in this window; inspect visual/cinematic scenes before global adoption."
"Post Processing / Bloom","r.Bloom.AsyncCompute","1","0.99","71.06","71.76","Low: runs FFT bloom on async compute where active. Visual output should be equivalent, but async contention can hurt.","true","Runtime console or user setting if adopted","false","bloom_async_candidate_visual_review_required","candidate_for_default_after_quick_visual_spotcheck","Low: runs FFT bloom on async compute where active. Visual output should be equivalent, but async contention can hurt.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / Depth of Field","r.DOF.Kernel.MaxForegroundRadius","0.0125","3.36","111.70","115.45","Medium: halves maximum foreground blur radius. Can reduce DOF cost but changes foreground blur strength.","true","DefaultScalability.ini PostProcessQuality lower tiers","true","dof_foreground_radius_tradeoff_visual_review_required","candidate_after_strict_visual_review","Medium: halves maximum foreground blur radius. Can reduce DOF cost but changes foreground blur strength.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / Depth of Field","r.DOF.Gather.RingCount","2","0.58","116.72","117.40","Medium/High: reduces DOF gather kernel ring count from the typical high-quality value. May visibly simplify bokeh blur.","true","DefaultScalability.ini PostProcessQuality lower tiers","true","dof_gather_ring_count_tradeoff_visual_review_required","quality_tradeoff_review_only","Medium/High: reduces DOF gather kernel ring count from the typical high-quality value. May visibly simplify bokeh blur.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / Fog","r.Fog.SeparateComposition","0","6.63","115.76","123.43","Medium: forces fog separate composition off. Can reduce render target/upscale overhead but may alter height fog, volumetric fog, or local fog composition quality.","true","DefaultScalability.ini EffectsQuality lower tiers","true","fog_composition_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: forces fog separate composition off. Can reduce render target/upscale overhead but may alter height fog, volumetric fog, or local fog composition quality.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / SSS","r.SSS.Scale","0.5","3.75","119.81","124.30","Medium: reduces screen-space subsurface scattering strength. Can reduce visible SSS contribution and may alter skin/subsurface material look.","true","DefaultScalability.ini EffectsQuality lower tiers","true","sss_quality_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: reduces screen-space subsurface scattering strength. Can reduce visible SSS contribution and may alter skin/subsurface material look.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / SSS","r.SSS.SampleSet","1","0.73","119.43","120.30","Medium: reduces screen-space subsurface scattering sample set. Can reduce SSS cost but may add banding or lower quality on skin/subsurface materials.","true","DefaultScalability.ini EffectsQuality lower tiers","true","sss_quality_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: reduces screen-space subsurface scattering sample set. Can reduce SSS cost but may add banding or lower quality on skin/subsurface materials.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / Volumetric Fog","r.VolumetricFog.Filtering.Quality","0","8.09","129.57","140.05","Medium: switches volumetric fog filtering to lower quality/trilinear path. Can reduce cost but may affect fog smoothness.","true","DefaultScalability.ini EffectsQuality lower tiers","true","volumetric_fog_filter_quality_tradeoff_visual_review_required","candidate_after_strict_visual_review","Medium: switches volumetric fog filtering to lower quality/trilinear path. Can reduce cost but may affect fog smoothness.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Ray Tracing / Geometry","r.RayTracing.Geometry.InstancedStaticMeshes.Culling","1","1.46","89.73","91.04","Low/Medium: ensures culling for instanced static meshes in ray tracing. If already enabled, should be neutral; if disabled, can improve RT traversal/build cost.","true","DefaultEngine.ini [/Script/Engine.RendererSettings]","false","rt_geometry_culling_candidate_visual_review_required","candidate_after_visual_review","Low/Medium: ensures culling for instanced static meshes in ray tracing. If already enabled, should be neutral; if disabled, can improve RT traversal/build cost.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Reflections","r.SSR.Quality","1","5.19","123.33","129.73","Medium/High: lowers screen-space reflection quality; may no-op or be less visible if Lumen reflections dominate, but reflective materials need review.","true","DefaultScalability.ini ReflectionQuality","true","quality_tradeoff_candidate_visual_review_required","quality_tradeoff_review_only","Medium/High: lowers screen-space reflection quality; may no-op or be less visible if Lumen reflections dominate, but reflective materials need review.","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"Reflections","r.Reflections.Denoiser.ReconstructionSamples","4","3.62","69.70","72.22","Medium: lowers reflection denoiser reconstruction sample count from default 8 to 4. May improve cost but can reduce denoising stability.","true","Runtime console or user setting if adopted","false","reflection_denoiser_quality_tradeoff_visual_review_required","candidate_after_strict_visual_review","Medium: lowers reflection denoiser reconstruction sample count from default 8 to 4. May improve cost but can reduce denoising stability.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows","r.Shadow.DistanceScale","0.8","5.39","125.88","132.67","Medium: reduces dynamic shadow distance, improving cost when distant shadows are present but can visibly remove far shadows.","true","DefaultScalability.ini ShadowQuality lower tiers","true","quality_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: reduces dynamic shadow distance, improving cost when distant shadows are present but can visibly remove far shadows.","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"Shadows","r.Shadow.PreShadowResolutionFactor","0.5","3.60","116.13","120.31","Medium: lowers preshadow resolution. Can improve shadow cost but may reduce quality on preshadowed objects.","true","DefaultScalability.ini ShadowQuality lower tiers","true","shadow_preshadow_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: lowers preshadow resolution. Can improve shadow cost but may reduce quality on preshadowed objects.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows","r.ContactShadows","0","3.36","113.40","117.21","Medium/High: reduces small grounding/contact shadow detail","true","DefaultScalability.ini ShadowQuality lower tiers","true","shadow_tradeoff_candidate","quality_tradeoff_review_only","Medium/High: reduces small grounding/contact shadow detail","Candidate for lower ShadowQuality tiers; visually inspect character/object grounding."
"Shadows","r.Shadow.CSM.MaxCascades","1","2.85","134.32","138.15","High: reduces directional-light CSM cascade count. Can improve shadow cost but may visibly reduce shadow coverage and transition quality.","true","DefaultScalability.ini ShadowQuality lower tiers","true","shadow_csm_tradeoff_candidate_visual_review_required","quality_tradeoff_review_only","High: reduces directional-light CSM cascade count. Can improve shadow cost but may visibly reduce shadow coverage and transition quality.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows","r.Shadow.MaxCSMResolution","2048","1.83","130.11","132.49","Medium: caps CSM shadow map resolution. Can reduce shadow cost but may soften directional-light shadows.","true","DefaultScalability.ini ShadowQuality lower tiers","true","shadow_resolution_tradeoff_candidate_visual_review_required","candidate_after_strict_visual_review","Medium: caps CSM shadow map resolution. Can reduce shadow cost but may soften directional-light shadows.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows","r.Shadow.MaxResolution","2048","1.32","119.28","120.85","Medium: caps shadow map resolution; can soften high-detail shadows and reduce aliasing stability depending on light setup.","true","DefaultScalability.ini ShadowQuality lower tiers","true","possible_candidate_small_gain_visual_review_required","candidate_after_strict_visual_review","Medium: caps shadow map resolution; can soften high-detail shadows and reduce aliasing stability depending on light setup.","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"Shadows","r.Shadow.Preshadows","0","0.57","53.93","54.24","High: disables preshadows, including static world casting onto characters. Can improve cost but may visibly remove character/object shadowing detail.","true","Runtime console or lower scalability tier if adopted","false","shadow_preshadow_quality_tradeoff_visual_review_required","quality_tradeoff_review_only","High: disables preshadows, including static world casting onto characters. Can improve cost but may visibly remove character/object shadowing detail.","Recovered from valid FPSChart logs after process-exit timeout. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.Cache.AllocateViaLRU","1","4.63","59.20","61.94","Low/Medium: changes VSM physical page allocation policy to prefer recently used cached pages. May improve cache behavior but can cause local instability if workload differs.","true","Runtime console or DeviceProfile if adopted","false","vsm_cache_lru_candidate_visual_review_required","candidate_after_visual_review","Low/Medium: changes VSM physical page allocation policy to prefer recently used cached pages. May improve cache behavior but can cause local instability if workload differs.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.Cache.MaxLightAgeSinceLastRequest","5","2.49","55.89","57.28","Low/Medium: reduces how long unused local-light VSM pages stay cached. May reduce cache memory/maintenance but can increase misses if lights reappear.","true","Runtime console or DeviceProfile if adopted","false","vsm_cache_lifetime_candidate_visual_review_required","candidate_after_visual_review","Low/Medium: reduces how long unused local-light VSM pages stay cached. May reduce cache memory/maintenance but can increase misses if lights reappear.","Recovered from valid FPSChart logs after process-exit timeout. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.Clipmap.UseConservativeCulling","0","2.16","56.14","57.35","Low/Medium: disables conservative non-Nanite VSM culling if enabled. Can reduce submissions but risks missing conservative shadow coverage in edge cases.","true","Runtime console or DeviceProfile if adopted","false","vsm_culling_candidate_visual_review_required","candidate_after_visual_review","Low/Medium: disables conservative non-Nanite VSM culling if enabled. Can reduce submissions but risks missing conservative shadow coverage in edge cases.","Recovered from valid FPSChart logs after process-exit timeout. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.Clipmap.FirstCoarseLevel","15","1.68","56.38","57.33","Medium: starts VSM coarse page marking farther out. Can reduce near-camera page pressure but may affect systems relying on coarse shadow pages.","true","Runtime console or DeviceProfile if adopted","false","vsm_coarse_page_range_tradeoff_visual_review_required","candidate_after_strict_visual_review","Medium: starts VSM coarse page marking farther out. Can reduce near-camera page pressure but may affect systems relying on coarse shadow pages.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.Clipmap.LastCoarseLevel","9","1.29","55.90","56.62","Medium: shortens VSM coarse page marking range. Can reduce page counts but may affect far coarse shadow information.","true","Runtime console or DeviceProfile if adopted","false","vsm_coarse_page_range_tradeoff_visual_review_required","candidate_after_strict_visual_review","Medium: shortens VSM coarse page marking range. Can reduce page counts but may affect far coarse shadow information.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
