"module","command","value","runtime_editable","scalability","setting_target","baseline_fps","test_fps","fps_delta_percent","quality_risk","adoption_status","priority","notes"
"Anti Aliasing / TSR","r.TSR.RejectionAntiAliasingQuality","1","true","true","DefaultScalability.ini AntiAliasingQuality lower tiers","122.55","135.30","10.40","Medium: lowers TSR rejection anti-aliasing quality. Can reduce reconstruction cost but may increase jagged rejected-history areas and shimmer.","tsr_quality_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Anti Aliasing / TSR","r.TSR.ReprojectionField","0","true","true","DefaultScalability.ini AntiAliasingQuality lower tiers","126.30","133.19","5.46","Medium: disables TSR reprojection field. Can save cost but may reduce upscale vector/reprojection quality around disocclusion and thin geometry.","tsr_quality_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Anti Aliasing / TSR","r.TSR.Resurrection","0","true","true","DefaultScalability.ini AntiAliasingQuality lower tiers","109.99","118.95","8.15","Low/Medium: disables TSR resurrection of old discarded details. Can improve predictability and cost but may reduce static fine detail recovery.","tsr_quality_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / GI","r.Lumen.ScreenProbeGather.NumAdaptiveProbes","4","true","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","118.01","129.32","9.58","Medium/High: reduces adaptive Lumen probes. Can improve GI cost but may lose indirect lighting detail in difficult areas.","lumen_probe_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / GI","r.LumenScene.SurfaceCache.CardTexelDensityScale","50","true","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","109.88","119.83","9.06","High: reduces Lumen card texel density. Can save surface cache cost/memory but may visibly lower indirect lighting detail.","lumen_surface_cache_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / GI","r.LumenScene.DirectLighting.MaxLightsPerTile","4","true","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","111.49","120.60","8.17","Medium/High: limits Lumen surface-cache direct lights per tile. Can improve cost in many-light scenes but may drop lower-priority direct-light contribution.","lumen_direct_lighting_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows","r.Shadow.CSM.MaxCascades","1","true","true","DefaultScalability.ini ShadowQuality lower tiers","134.32","138.15","2.85","High: reduces directional-light CSM cascade count. Can improve shadow cost but may visibly reduce shadow coverage and transition quality.","shadow_csm_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows","r.Shadow.MaxCSMResolution","2048","true","true","DefaultScalability.ini ShadowQuality lower tiers","130.11","132.49","1.83","Medium: caps CSM shadow map resolution. Can reduce shadow cost but may soften directional-light shadows.","shadow_resolution_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows","r.Shadow.PreShadowResolutionFactor","0.5","true","true","DefaultScalability.ini ShadowQuality lower tiers","116.13","120.31","3.60","Medium: lowers preshadow resolution. Can improve shadow cost but may reduce quality on preshadowed objects.","shadow_preshadow_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"GI / Ambient Occlusion","r.AmbientOcclusionLevels","0","true","true","DefaultScalability.ini PostProcessQuality lower tiers","132.20","134.53","1.76","Medium/High: disables or minimizes SSAO mip levels depending on current AO path. Can reduce AO cost but may flatten contact shading.","ao_quality_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / Fog","r.Fog.SeparateComposition","0","true","true","DefaultScalability.ini EffectsQuality lower tiers","115.76","123.43","6.63","Medium: forces fog separate composition off. Can reduce render target/upscale overhead but may alter height fog, volumetric fog, or local fog composition quality.","fog_composition_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Reflections","r.Lumen.Reflections.Allow","0","true","true","DefaultScalability.ini ReflectionQuality lower tiers","124.19","121.73","-1.98","High: disables Lumen reflections where project settings enable them. Can significantly improve reflection cost but can visibly remove high-quality reflection contribution.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Translucency","r.Lumen.TranslucencyVolume.Enable","0","true","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","126.05","127.23","0.94","Medium/High: disables Lumen translucency volume lighting. Can improve cost in translucent/foggy scenes but may reduce GI quality on translucent volumes.","lumen_translucency_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Translucency","r.Lumen.TranslucencyVolume.GridPixelSize","64","true","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","126.34","126.29","-0.04","Medium: increases Lumen translucency grid cell size. Can reduce cost but lowers translucency lighting resolution.","neutral_paired_ab_no_material_gain","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / GI","r.Lumen.ScreenProbeGather.ShortRangeAO.BentNormal","0","true","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","132.62","124.62","-6.03","Low/Medium: uses scalar AO instead of bent normal for Lumen short-range AO. Slightly faster, but can reduce specular occlusion quality.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"GI / Ambient Occlusion","r.AmbientOcclusionRadiusScale","0.5","true","true","DefaultScalability.ini PostProcessQuality lower tiers","129.21","130.67","1.13","Medium: reduces ambient occlusion radius scale. Can reduce AO cost/extent but may weaken broad contact shading.","ao_quality_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / SSS","r.SSS.SampleSet","1","true","true","DefaultScalability.ini EffectsQuality lower tiers","119.43","120.30","0.73","Medium: reduces screen-space subsurface scattering sample set. Can reduce SSS cost but may add banding or lower quality on skin/subsurface materials.","sss_quality_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"GI / Ambient Occlusion","r.AmbientOcclusionMipLevelFactor","0.5","true","true","DefaultScalability.ini PostProcessQuality lower tiers","124.46","120.68","-3.04","Medium: changes AO mip selection per step. Can reduce AO cost/detail but may soften occlusion.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / SSS","r.SSS.Scale","0.5","true","true","DefaultScalability.ini EffectsQuality lower tiers","119.81","124.30","3.75","Medium: reduces screen-space subsurface scattering strength. Can reduce visible SSS contribution and may alter skin/subsurface material look.","sss_quality_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing","r.Bloom.ScreenPercentage","50","true","true","DefaultScalability.ini PostProcessQuality lower tiers","121.31","117.69","-2.98","Medium: lowers bloom convolution resolution. Can reduce bloom cost but may soften or destabilize large bloom highlights.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / DOF","r.DOF.Gather.ResolutionDivisor","2","true","true","DefaultScalability.ini PostProcessQuality lower tiers","118.76","114.24","-3.81","Medium: lowers DOF gather resolution. Can improve DOF cost but may make blur/chroma bokeh less stable.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / DOF","r.DOF.Recombine.Quality","1","true","true","DefaultScalability.ini PostProcessQuality lower tiers","116.30","111.90","-3.78","Medium: lowers DOF recombine quality. Can reduce cost but may alter slight out-of-focus recombine quality.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing","r.MotionBlur.HalfResGather","1","true","true","DefaultScalability.ini PostProcessQuality lower tiers","114.46","115.00","0.47","Low/Medium: allows motion blur gather at half resolution under heavy motion. Can reduce cost during motion but may soften blur quality.","neutral_paired_ab_no_material_gain","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.SMRT.RayCountDirectional","1","true","true","DefaultScalability.ini ShadowQuality lower tiers","114.23","112.01","-1.94","Medium/High: reduces SMRT ray count for directional-light virtual shadows. Can improve soft shadow cost but may increase noise or reduce penumbra quality.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.SMRT.SamplesPerRayDirectional","4","true","true","DefaultScalability.ini ShadowQuality lower tiers","109.06","102.76","-5.78","Medium: reduces samples per SMRT ray for directional-light virtual shadows. Can improve cost but may reduce soft shadow stability.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.ResolutionLodBiasLocalMoving","1","true","true","DefaultScalability.ini ShadowQuality lower tiers","107.74","108.47","0.68","Medium: halves moving local-light VSM resolution relative to default. Can reduce moving local shadow cost but may soften or alias moving-light shadows.","vsm_resolution_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.MaxPhysicalPages","2048","true","true","DefaultScalability.ini ShadowQuality lower tiers","107.86","106.12","-1.61","Medium/High: lowers VSM physical page pool. Can reduce memory pressure but risks missing pages, lower shadow quality, or page pool warnings.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Texture Streaming","r.Streaming.Boost","0.5","true","true","DefaultScalability.ini TextureQuality lower tiers","107.28","101.08","-5.78","Medium: lowers texture streaming boost, encouraging lower mips. Can improve memory/streaming pressure but reduces texture sharpness.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Texture Streaming","r.Streaming.MaxEffectiveScreenSize","1","true","true","DefaultScalability.ini TextureQuality lower tiers","103.01","103.92","0.88","High: clamps effective screen size for texture streaming. Can strongly reduce mip demand but may visibly blur textures.","texture_streaming_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Ray Tracing / Nanite","r.RayTracing.Nanite.Offscreen.LODBias","1","true","false","Runtime console or DeviceProfile if adopted","103.61","100.74","-2.77","Medium: reduces offscreen Nanite geometry detail used for ray tracing. Can improve RT/Nanite cost but may affect offscreen reflection/GI detail.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.SMRT.RayCountLocal","1","true","true","DefaultScalability.ini ShadowQuality lower tiers","100.73","96.87","-3.83","Medium/High: reduces SMRT ray count for local-light virtual shadows. Can improve local soft shadow cost but may increase local shadow noise.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.SMRT.SamplesPerRayLocal","4","true","true","DefaultScalability.ini ShadowQuality lower tiers","101.11","95.52","-5.53","Medium: reduces samples per SMRT ray for local-light virtual shadows. Can improve cost but may reduce soft local shadow stability.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows / Virtual Shadow Map","r.Shadow.Virtual.MarkCoarsePagesLocal","0","true","true","DefaultScalability.ini ShadowQuality lower tiers","99.91","94.58","-5.33","Medium: disables local-light coarse page marking. Can reduce VSM page work but may reduce low-resolution local shadow coverage.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Texture Streaming","r.Streaming.MaxNumTexturesToStreamPerFrame","1","true","true","DefaultScalability.ini TextureQuality lower tiers","97.87","97.75","-0.12","Low/Medium: limits texture upload count per frame. Can smooth upload spikes but may delay texture quality convergence and cause blurry textures longer.","neutral_paired_ab_no_material_gain","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Texture Streaming","r.Streaming.AmortizeCPUToGPUCopy","1","true","true","DefaultScalability.ini TextureQuality lower tiers","94.90","93.73","-1.23","Low/Medium: amortizes CPU-to-GPU texture copies when per-frame streaming count is limited. May smooth spikes but can delay texture mip uploads.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Nanite","r.Nanite.RasterSort","0","true","false","Runtime console or DeviceProfile if adopted","94.54","99.68","5.44","Medium: disables sorting of Nanite rasterizer dispatches/draws. Can reduce sort overhead but may hurt rendering efficiency depending on scene.","nanite_raster_tradeoff_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Nanite","r.Nanite.CacheMaterialBinsParallel","0","true","false","Runtime console or DeviceProfile if adopted","96.22","92.34","-4.03","Medium: disables parallel caching of Nanite material bins. Expected to be a negative control unless parallel overhead is problematic.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Low","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Ray Tracing / Geometry","r.RayTracing.Geometry.SkeletalMeshes","0","true","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","89.48","82.13","-8.21","High: removes skeletal meshes from the ray tracing scene. Can reduce RT BLAS/update cost but may break character reflections, shadows, GI, and RT visibility.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Ray Tracing / Geometry","r.RayTracing.Geometry.InstancedStaticMeshes.Culling","1","true","false","DefaultEngine.ini [/Script/Engine.RendererSettings]","89.73","91.04","1.46","Low/Medium: ensures culling for instanced static meshes in ray tracing. If already enabled, should be neutral; if disabled, can improve RT traversal/build cost.","rt_geometry_culling_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Ray Tracing / Geometry","r.RayTracing.Geometry.InstancedStaticMeshes.CullClusterRadius","5000","true","false","Runtime console or DeviceProfile if adopted","91.65","86.17","-5.98","Medium/High: reduces ray tracing instance culling radius for ISM/HISM. Can improve RT scene cost but may remove distant reflected/GI/shadowed instances.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Ray Tracing / Geometry","r.RayTracing.Geometry.LandscapeGrass","0","true","false","Runtime console or DeviceProfile if adopted","88.36","81.70","-7.54","Medium/High: removes landscape grass meshes from ray tracing effects. Can reduce RT geometry cost in grass-heavy areas but may affect RT shadows/reflections/GI for grass.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Ray Tracing / Geometry","r.RayTracing.Geometry.NiagaraSprites","0","true","false","Runtime console or DeviceProfile if adopted","86.60","83.15","-3.98","Medium: removes Niagara sprites from ray tracing effects. Can reduce RT scene cost in VFX-heavy scenes but may affect RT visibility/reflections for sprites.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Low","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Nanite","r.Nanite.AsyncRasterization","1","true","false","Runtime console or DeviceProfile if adopted","85.19","83.27","-2.25","Low/Medium: enables Nanite compute rasterization as async compute where available. Can improve overlap but may hurt if async compute contention is high.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Nanite","r.Nanite.ComputeRasterization","0","true","false","Runtime console or DeviceProfile if adopted","85.54","80.67","-5.69","Medium: disables Nanite compute rasterization and forces hardware path. Can improve or hurt depending on scene/GPU; visual output should remain equivalent.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"GI / Ambient Occlusion","r.AmbientOcclusion.Compute","1","true","false","Runtime console or user setting if adopted","75.32","74.18","-1.51","Low/Medium: switches SSAO to compute shader path where supported. Visual output should be equivalent, performance depends on GPU async/compute pressure.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"GI / Ambient Occlusion","r.AmbientOcclusion.FramebufferCompression","1","true","false","Runtime console or user setting if adopted","71.09","68.14","-4.15","Low: enables AO texture framebuffer compression if supported by platform. Expected visual output equivalent; bandwidth/perf may change.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / Bloom","r.Bloom.AsyncCompute","1","true","false","Runtime console or user setting if adopted","71.06","71.76","0.99","Low: runs FFT bloom on async compute where active. Visual output should be equivalent, but async contention can hurt.","bloom_async_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Post Processing / Bloom","r.Bloom.ApplyLocalExposure","0","true","false","Runtime console or user setting if adopted","71.92","71.21","-0.99","Medium: disables local exposure application in bloom. Can change highlight/bloom appearance and must be visually reviewed.","neutral_paired_ab_no_material_gain","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Reflections","r.Reflections.Denoiser.PreConvolution","0","true","false","Runtime console or user setting if adopted","69.09","66.99","-3.04","Medium: reduces reflection denoiser pre-convolution passes. May reduce cost but can add reflection noise/instability.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Reflections","r.Reflections.Denoiser.ReconstructionSamples","4","true","false","Runtime console or user setting if adopted","69.70","72.22","3.62","Medium: lowers reflection denoiser reconstruction sample count from default 8 to 4. May improve cost but can reduce denoising stability.","reflection_denoiser_quality_tradeoff_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Reflections","r.Lumen.Reflections.DownsampleCheckerboard","1","true","false","Runtime console or user setting if adopted","69.16","71.35","3.17","Medium: uses checkerboard downsampling for Lumen reflections when downsampled. Can improve cost but may affect reflection detail/stability.","lumen_reflection_quality_tradeoff_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Shadows","r.Shadow.TexelsPerPixel","0.63662","true","false","Runtime console or user setting if adopted","67.05","64.84","-3.30","Medium: lowers per-object shadow texel density. Can improve shadow cost but may visibly soften/fade object shadows.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Scheduling","r.Lumen.AsyncCompute","1","true","false","Runtime console or user setting if adopted","67.23","67.92","1.03","Low: enables Lumen async compute scheduling where supported. Visual output should be equivalent, but async contention can hurt.","lumen_async_compute_candidate_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Scheduling","r.Lumen.DiffuseIndirect.AsyncCompute","1","true","false","Runtime console or user setting if adopted","67.94","66.27","-2.46","Low: enables async compute for Lumen diffuse indirect where supported. Visual output should be equivalent.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Reflections","r.Lumen.Reflections.AsyncCompute","1","true","false","Runtime console or user setting if adopted","66.36","62.92","-5.18","Low: enables async compute for Lumen reflections where supported. Visual output should be equivalent.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Reflections","r.Lumen.Reflections.HiResSurface","0","true","false","Runtime console or user setting if adopted","65.83","62.81","-4.59","Medium/High: disables high-resolution surface data for Lumen reflections. Can improve cost but may reduce reflection detail.","reject_for_now_paired_ab_loss_or_scene_not_benefiting","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"Lumen / Reflections","r.Lumen.Reflections.ScreenSpaceReconstruction.KernelRadius","4","true","false","Runtime console or user setting if adopted","64.21","65.33","1.74","Medium: lowers screen-space reconstruction kernel radius for Lumen reflections. Can reduce cost but may affect reflection filtering.","lumen_reflection_reconstruction_tradeoff_visual_review_required","Medium","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
