"application_bucket","apply_recommendation","module","command","value","fps_delta_percent","quality_risk","visual_review_required","target_file","target_section","in_scalability","config_target","adoption_status","quality_impact","notes"
"medium_risk_candidate","candidate_after_strict_visual_review","Anti Aliasing / TSR","r.TemporalAA.Quality","1","7.33","Medium: lowers temporal AA quality. Can reduce anti-aliasing cost but may increase shimmer, ghosting, or edge instability.","true","DefaultScalability.ini","AntiAliasingQuality@0;AntiAliasingQuality@1;AntiAliasingQuality@2;AntiAliasingQuality@3;AntiAliasingQuality@Cine","true","DefaultScalability.ini AntiAliasingQuality lower tiers","aa_quality_tradeoff_candidate_visual_review_required","Medium: lowers temporal AA quality. Can reduce anti-aliasing cost but may increase shimmer, ghosting, or edge instability.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Anti Aliasing / TSR","r.TSR.History.UpdateQuality","1","5.87","Medium: lowers TSR history update shader quality. May reduce cost but can reduce reconstruction stability on motion/highlights.","true","DefaultScalability.ini","AntiAliasingQuality@0;AntiAliasingQuality@1;AntiAliasingQuality@2;AntiAliasingQuality@3;AntiAliasingQuality@Cine","true","DefaultScalability.ini AntiAliasingQuality lower tiers","tsr_quality_tradeoff_candidate_visual_review_required","Medium: lowers TSR history update shader quality. May reduce cost but can reduce reconstruction stability on motion/highlights.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Anti Aliasing / TSR","r.TSR.RejectionAntiAliasingQuality","1","10.40","Medium: lowers TSR rejection anti-aliasing quality. Can reduce reconstruction cost but may increase jagged rejected-history areas and shimmer.","true","DefaultScalability.ini","AntiAliasingQuality@0;AntiAliasingQuality@1;AntiAliasingQuality@2;AntiAliasingQuality@3;AntiAliasingQuality@Cine","true","DefaultScalability.ini AntiAliasingQuality lower tiers","tsr_quality_tradeoff_candidate_visual_review_required","Medium: lowers TSR rejection anti-aliasing quality. Can reduce reconstruction cost but may increase jagged rejected-history areas and shimmer.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Anti Aliasing / TSR","r.TSR.ReprojectionField","0","5.46","Medium: disables TSR reprojection field. Can save cost but may reduce upscale vector/reprojection quality around disocclusion and thin geometry.","true","DefaultScalability.ini","AntiAliasingQuality@0;AntiAliasingQuality@1;AntiAliasingQuality@2;AntiAliasingQuality@3;AntiAliasingQuality@Cine","true","DefaultScalability.ini AntiAliasingQuality lower tiers","tsr_quality_tradeoff_candidate_visual_review_required","Medium: disables TSR reprojection field. Can save cost but may reduce upscale vector/reprojection quality around disocclusion and thin geometry.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","GI / Ambient Occlusion","r.AmbientOcclusionMaxQuality","50","3.38","Medium: clamps screen-space ambient occlusion quality and can reduce crevice/contact darkening detail, especially if SSAO contributes alongside Lumen.","true","DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","true","DefaultScalability.ini PostProcessQuality","quality_tradeoff_candidate_visual_review_required","Medium: clamps screen-space ambient occlusion quality and can reduce crevice/contact darkening detail, especially if SSAO contributes alongside Lumen.","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","GI / Ambient Occlusion","r.AmbientOcclusionRadiusScale","0.5","1.13","Medium: reduces ambient occlusion radius scale. Can reduce AO cost/extent but may weaken broad contact shading.","true","DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","true","DefaultScalability.ini PostProcessQuality lower tiers","ao_quality_tradeoff_candidate_visual_review_required","Medium: reduces ambient occlusion radius scale. Can reduce AO cost/extent but may weaken broad contact shading.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Landscape / Foliage","foliage.LODDistanceScale","0.5","2.93","Medium: changes foliage LOD distance scaling. Can reduce foliage vertex cost but may increase visible LOD transitions.","true","DefaultScalability.ini","ScalabilitySectionReviewRequired","false","DefaultScalability.ini foliage lower tiers or DeviceProfile","foliage_lod_distance_quality_tradeoff_visual_review_required","Medium: changes foliage LOD distance scaling. Can reduce foliage vertex cost but may increase visible LOD transitions.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Landscape / Foliage","foliage.MinimumScreenSize","0.0000075","2.33","Medium: raises foliage screen-size culling threshold. Can improve distant foliage cost but may remove small/far instances.","true","DefaultScalability.ini","ScalabilitySectionReviewRequired","false","DefaultScalability.ini foliage lower tiers or DeviceProfile","foliage_screen_size_cull_quality_tradeoff_visual_review_required","Medium: raises foliage screen-size culling threshold. Can improve distant foliage cost but may remove small/far instances.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Lumen / GI","r.Lumen.ScreenProbeGather.ShortRangeAO.DownsampleFactor","2","8.81","Medium: downsamples Lumen short-range AO. Can improve GI/AO cost but may soften contact occlusion and near-field grounding.","true","DefaultScalability.ini","GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","lumen_ao_tradeoff_candidate_visual_review_required","Medium: downsamples Lumen short-range AO. Can improve GI/AO cost but may soften contact occlusion and near-field grounding.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Lumen / Reflections","r.Lumen.Reflections.BilateralFilter.KernelRadius","4","1.30","Medium: lowers/sets screen-space reflection spatial filter kernel radius. Can reduce filtering cost but may change reflection noise/detail.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or lower scalability tier if adopted","lumen_reflection_bilateral_filter_tradeoff_visual_review_required","Medium: lowers/sets screen-space reflection spatial filter kernel radius. Can reduce filtering cost but may change reflection noise/detail.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Lumen / Reflections","r.Lumen.Reflections.DenoiserTonemapRange","5","0.74","Medium: lowers reflection denoiser tonemap range. Can reduce firefly/high-intensity handling cost but may affect bright reflections.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or lower scalability tier if adopted","lumen_reflection_denoiser_range_tradeoff_visual_review_required","Medium: lowers reflection denoiser tonemap range. Can reduce firefly/high-intensity handling cost but may affect bright reflections.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Lumen / Reflections","r.Lumen.Reflections.DownsampleCheckerboard","1","3.17","Medium: uses checkerboard downsampling for Lumen reflections when downsampled. Can improve cost but may affect reflection detail/stability.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or user setting if adopted","lumen_reflection_quality_tradeoff_visual_review_required","Medium: uses checkerboard downsampling for Lumen reflections when downsampled. Can improve cost but may affect reflection detail/stability.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Lumen / Reflections","r.Lumen.Reflections.ScreenSpaceReconstruction.KernelRadius","4","1.74","Medium: lowers screen-space reconstruction kernel radius for Lumen reflections. Can reduce cost but may affect reflection filtering.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or user setting if adopted","lumen_reflection_reconstruction_tradeoff_visual_review_required","Medium: lowers screen-space reconstruction kernel radius for Lumen reflections. Can reduce cost but may affect reflection filtering.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Nanite","r.Nanite.RasterSort","0","5.44","Medium: disables sorting of Nanite rasterizer dispatches/draws. Can reduce sort overhead but may hurt rendering efficiency depending on scene.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or DeviceProfile if adopted","nanite_raster_tradeoff_candidate_visual_review_required","Medium: disables sorting of Nanite rasterizer dispatches/draws. Can reduce sort overhead but may hurt rendering efficiency depending on scene.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Path Tracing / Denoiser","r.PathTracing.Denoiser.Prepass.RankedLuminanceVariance","1","7.40","Medium: changes Path Tracing denoiser prepass luminance variance ranking. It can alter path-traced denoising/noise/detail balance; treat as offline/path-tracing visual review only.","true","DefaultEngine.ini","[ConsoleVariables]","false","DefaultEngine.ini [/Script/Engine.RendererSettings]","repeated_pair_quality_tradeoff_candidate_visual_review_required","Medium: changes Path Tracing denoiser prepass luminance variance ranking. It can alter path-traced denoising/noise/detail balance; treat as offline/path-tracing visual review only.","Repeated-pair multi-process result on <BenchmarkMap>: +7.40% median FPS, pair deltas 8.26% and 6.53%. Path Tracing denoiser setting; keep as visual-review quality/performance tradeoff, not a low-risk realtime default."
"medium_risk_candidate","candidate_after_strict_visual_review","Post Processing","r.DepthOfFieldQuality","1","4.30","Medium: simpler DOF; may affect cinematics and focus blur","true","DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","true","DefaultScalability.ini lower tiers or user quality setting","candidate_visual_review_required","Medium: simpler DOF; may affect cinematics and focus blur","Good FPS gain, but GPU frametime did not drop in this window; inspect visual/cinematic scenes before global adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Post Processing","r.MotionBlurQuality","0","4.80","Medium: disables motion blur; improves clarity but removes cinematic blur","true","DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","true","DefaultScalability.ini or user quality setting","candidate_if_clarity_preferred","Medium: disables motion blur; improves clarity but removes cinematic blur","Measured with paired A/B same-process. Good candidate for low/medium quality tiers or a user option after visual review."
"medium_risk_candidate","candidate_after_strict_visual_review","Post Processing","r.Tonemapper.Quality","2","7.27","Medium: can change final color/film/grain/vignette behavior","true","DefaultScalability.ini","PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","true","DefaultScalability.ini","candidate_visual_review_required","Medium: can change final color/film/grain/vignette behavior","Strong paired FPS gain; compare final color grading before adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Post Processing / Depth of Field","r.DOF.Kernel.MaxForegroundRadius","0.0125","3.36","Medium: halves maximum foreground blur radius. Can reduce DOF cost but changes foreground blur strength.","true","DefaultScalability.ini","PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine","true","DefaultScalability.ini PostProcessQuality lower tiers","dof_foreground_radius_tradeoff_visual_review_required","Medium: halves maximum foreground blur radius. Can reduce DOF cost but changes foreground blur strength.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Post Processing / Fog","r.Fog.SeparateComposition","0","6.63","Medium: forces fog separate composition off. Can reduce render target/upscale overhead but may alter height fog, volumetric fog, or local fog composition quality.","true","DefaultScalability.ini","EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine","true","DefaultScalability.ini EffectsQuality lower tiers","fog_composition_tradeoff_candidate_visual_review_required","Medium: forces fog separate composition off. Can reduce render target/upscale overhead but may alter height fog, volumetric fog, or local fog composition quality.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Post Processing / SSS","r.SSS.SampleSet","1","0.73","Medium: reduces screen-space subsurface scattering sample set. Can reduce SSS cost but may add banding or lower quality on skin/subsurface materials.","true","DefaultScalability.ini","EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine","true","DefaultScalability.ini EffectsQuality lower tiers","sss_quality_tradeoff_candidate_visual_review_required","Medium: reduces screen-space subsurface scattering sample set. Can reduce SSS cost but may add banding or lower quality on skin/subsurface materials.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Post Processing / SSS","r.SSS.Scale","0.5","3.75","Medium: reduces screen-space subsurface scattering strength. Can reduce visible SSS contribution and may alter skin/subsurface material look.","true","DefaultScalability.ini","EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine","true","DefaultScalability.ini EffectsQuality lower tiers","sss_quality_tradeoff_candidate_visual_review_required","Medium: reduces screen-space subsurface scattering strength. Can reduce visible SSS contribution and may alter skin/subsurface material look.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Post Processing / Volumetric Fog","r.VolumetricFog.Filtering.Quality","0","8.09","Medium: switches volumetric fog filtering to lower quality/trilinear path. Can reduce cost but may affect fog smoothness.","true","DefaultScalability.ini","ScalabilitySectionReviewRequired","true","DefaultScalability.ini EffectsQuality lower tiers","volumetric_fog_filter_quality_tradeoff_visual_review_required","Medium: switches volumetric fog filtering to lower quality/trilinear path. Can reduce cost but may affect fog smoothness.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Reflections","r.Reflections.Denoiser.ReconstructionSamples","4","3.62","Medium: lowers reflection denoiser reconstruction sample count from default 8 to 4. May improve cost but can reduce denoising stability.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or user setting if adopted","reflection_denoiser_quality_tradeoff_visual_review_required","Medium: lowers reflection denoiser reconstruction sample count from default 8 to 4. May improve cost but can reduce denoising stability.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Shadows","r.Shadow.DistanceScale","0.8","5.39","Medium: reduces dynamic shadow distance, improving cost when distant shadows are present but can visibly remove far shadows.","true","DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine","true","DefaultScalability.ini ShadowQuality lower tiers","quality_tradeoff_candidate_visual_review_required","Medium: reduces dynamic shadow distance, improving cost when distant shadows are present but can visibly remove far shadows.","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Shadows","r.Shadow.MaxCSMResolution","2048","1.83","Medium: caps CSM shadow map resolution. Can reduce shadow cost but may soften directional-light shadows.","true","DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine","true","DefaultScalability.ini ShadowQuality lower tiers","shadow_resolution_tradeoff_candidate_visual_review_required","Medium: caps CSM shadow map resolution. Can reduce shadow cost but may soften directional-light shadows.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Shadows","r.Shadow.MaxResolution","2048","1.32","Medium: caps shadow map resolution; can soften high-detail shadows and reduce aliasing stability depending on light setup.","true","DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine","true","DefaultScalability.ini ShadowQuality lower tiers","possible_candidate_small_gain_visual_review_required","Medium: caps shadow map resolution; can soften high-detail shadows and reduce aliasing stability depending on light setup.","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Shadows","r.Shadow.PreShadowResolutionFactor","0.5","3.60","Medium: lowers preshadow resolution. Can improve shadow cost but may reduce quality on preshadowed objects.","true","DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine","true","DefaultScalability.ini ShadowQuality lower tiers","shadow_preshadow_tradeoff_candidate_visual_review_required","Medium: lowers preshadow resolution. Can improve shadow cost but may reduce quality on preshadowed objects.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Shadows / Virtual Shadow Map","r.Shadow.Virtual.Clipmap.FirstCoarseLevel","15","1.68","Medium: starts VSM coarse page marking farther out. Can reduce near-camera page pressure but may affect systems relying on coarse shadow pages.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or DeviceProfile if adopted","vsm_coarse_page_range_tradeoff_visual_review_required","Medium: starts VSM coarse page marking farther out. Can reduce near-camera page pressure but may affect systems relying on coarse shadow pages.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Shadows / Virtual Shadow Map","r.Shadow.Virtual.Clipmap.LastCoarseLevel","9","1.29","Medium: shortens VSM coarse page marking range. Can reduce page counts but may affect far coarse shadow information.","true","DefaultEngine.ini","[ConsoleVariables]","false","Runtime console or DeviceProfile if adopted","vsm_coarse_page_range_tradeoff_visual_review_required","Medium: shortens VSM coarse page marking range. Can reduce page counts but may affect far coarse shadow information.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"medium_risk_candidate","candidate_after_strict_visual_review","Shadows / Virtual Shadow Map","r.Shadow.Virtual.ResolutionLodBiasLocalMoving","1","0.68","Medium: halves moving local-light VSM resolution relative to default. Can reduce moving local shadow cost but may soften or alias moving-light shadows.","true","DefaultScalability.ini","ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine","true","DefaultScalability.ini ShadowQuality lower tiers","vsm_resolution_tradeoff_candidate_visual_review_required","Medium: halves moving local-light VSM resolution relative to default. Can reduce moving local shadow cost but may soften or alias moving-light shadows.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"quality_tradeoff_or_lower_tier_only","quality_tradeoff_review_only","Landscape / Foliage","foliage.DensityScale","0.8","5.89","High: visible vegetation density loss","true","DefaultScalability.ini","FoliageQuality@0;FoliageQuality@1;FoliageQuality@2;FoliageQuality@3;FoliageQuality@Cine","true","DefaultScalability.ini FoliageQuality lower tiers","lower_foliage_tier_only","High: visible vegetation density loss","Useful for lower tiers or performance mode, not a high-quality default without visual approval."
"quality_tradeoff_or_lower_tier_only","quality_tradeoff_review_only","Lumen / GI","r.LumenScene.SurfaceCache.AtlasSize","2048","10.16","High: reduces Lumen surface cache atlas size. Can save memory/GPU work but risks lower indirect lighting detail and cache quality.","true","DefaultScalability.ini","GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","lumen_surface_cache_tradeoff_candidate_visual_review_required","High: reduces Lumen surface cache atlas size. Can save memory/GPU work but risks lower indirect lighting detail and cache quality.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"quality_tradeoff_or_lower_tier_only","quality_tradeoff_review_only","Lumen / GI","r.LumenScene.SurfaceCache.CardTexelDensityScale","50","9.06","High: reduces Lumen card texel density. Can save surface cache cost/memory but may visibly lower indirect lighting detail.","true","DefaultScalability.ini","GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","lumen_surface_cache_tradeoff_candidate_visual_review_required","High: reduces Lumen card texel density. Can save surface cache cost/memory but may visibly lower indirect lighting detail.","Result generated by scripts/run_render_ab_tests.ps1. Visual review required before project config adoption."
"quality_tradeoff_or_lower_tier_only","quality_tradeoff_review_only","Lumen / Ray Tracing","r.Lumen.HardwareRayTracing.HitLighting.Allowed","0","4.82","High: disables Lumen hardware ray tracing hit lighting path where used; can reduce lighting/reflection accuracy and should be reviewed in reflective/interior scenes.","true","DefaultScalability.ini","GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine","true","DefaultScalability.ini GlobalIlluminationQuality lower tiers","lumen_rt_quality_tradeoff_candidate_visual_review_required","High: disables Lumen hardware ray tracing hit lighting path where used; can reduce lighting/reflection accuracy and should be reviewed in reflective/interior scenes.","Quality/performance tradeoff candidate from paired A/B; visual review required before project config adoption."
