command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
foliage.UnFreeze,Command,string,,foliage,景观/植被,All,true,false,false,false,false,,`foliage.UnFreeze`（可带参数，具体见帮助说明）,Useful for debugging. Freezes the foliage culling and LOD.,
fx.DumpCompileIdDataForAsset,Command,string,,fx,后处理,All,true,false,false,false,false,,`fx.DumpCompileIdDataForAsset`（可带参数，具体见帮助说明）,Dumps data relevant to generating the compile id for an asset.,
fx.DumpEmitterDepencenciesInFolder,Command,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.DumpEmitterDepencenciesInFolder`（可带参数，具体见帮助说明）,Dumps emitter dependencies for all systems in the supplied folder and sub-folders.,
fx.DumpNiagaraScalabilityState,Command,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.DumpNiagaraScalabilityState`（可带参数，具体见帮助说明）,Dumps state information for all Niagara Scalability Mangers.,
fx.DumpPSCPoolInfo,Command,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.DumpPSCPoolInfo`（可带参数，具体见帮助说明）,Dump Particle System Pooling Info,
fx.DumpPSCTickStateInfo,Command,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.DumpPSCTickStateInfo`（可带参数，具体见帮助说明）,Dumps state information for all current Particle System Components.,
fx.DumpRapidIterationParametersForAsset,Command,string,,fx,后处理,All,true,false,false,false,false,,`fx.DumpRapidIterationParametersForAsset`（可带参数，具体见帮助说明）,Dumps the values of the rapid iteration parameters for the specified asset by path.,
fx.InvalidateCachedScripts,Command,string,,fx,通用,All,true,false,false,false,false,,`fx.InvalidateCachedScripts`（可带参数，具体见帮助说明）,Invalidate Niagara script cache by making a unique change to NiagaraShaderVersion.ush which is included in common.usf.,
fx.InvalidateNiagaraPerfBaselines,Command,string,,fx,通用,All,true,false,false,false,false,,`fx.InvalidateNiagaraPerfBaselines`（可带参数，具体见帮助说明）,Invalidates all Niagara performance baseline data.,
fx.LoadAllNiagaraSystemsInFolder,Command,string,,fx,通用,All,true,false,false,false,false,,`fx.LoadAllNiagaraSystemsInFolder`（可带参数，具体见帮助说明）,Loads all niagara systems in the supplied directory and sub-directories.,
fx.Niagara.DataChannels.DumpWriteLog,Command,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.Niagara.DataChannels.DumpWriteLog`（可带参数，具体见帮助说明）,Dump all the currently stored writes to the log (see fx.Niagara.DataChannels.FrameDataToCapture on how many frames are captured),
fx.Niagara.FixDuplicateVariableGuids,Command,string,,fx,通用,All,true,false,false,false,false,,`fx.Niagara.FixDuplicateVariableGuids`（可带参数，具体见帮助说明）,"Validates and fixes the script guids of a given script, if duplicates exist.",
fx.Niagara.MigrateInternalTagsToUserAssetTags,Command,string,,fx,后处理,All,true,false,false,false,false,,`fx.Niagara.MigrateInternalTagsToUserAssetTags`（可带参数，具体见帮助说明）,"Finds and resaves Niagara assets within the current Content Browser view (recursive) that were tagged with an internal Niagara Asset Tag (such as Template, Hidden, Deprecated etc.)",
fx.Niagara.SetOverridePlatformName,Command,string,,fx,通用,All,true,false,false,false,false,,`fx.Niagara.SetOverridePlatformName`（可带参数，具体见帮助说明）,"Sets which platform we should override with, no args means reset to default","FConsoleCommandWithArgsDelegate::CreateLambda( 		[](const TArray<FString>& Args) 		{ 			GNiagaraPlatformOverride.Reset(); 			if (Args.Num() == 0) 			{ 				if (GNiagaraBackupQualityLevel != INDEX_NONE) 				{ 					UE::ConfigUtilities::OnSetCVarFromIniEntry(*GDeviceProfilesIni, NiagaraQualityLevelName, *LexToString(GNiagaraBackupQualityLevel), ECVF_SetByMask); 				} 				GNiagaraBackupQualityLevel = INDEX_NONE; 				UE_LOGF(LogNiagara, Warning, ""Niagara Clearing Override DeviceProfile""); 			} 			else 			{ 				for (UObject* DeviceProfileObj : UDeviceProfileManager::Get().Profiles) 				{ 					if (UDeviceProfile* Profile = Cast<UDeviceProfile>(DeviceProfileObj)) 					{ 						if (Profile->GetName() == Args[0]) 						{ 							SetGNiagaraDeviceProfile(Profile); 							break; 						} 					} 				}  				if (GNiagaraPlatformOverride.IsValid()) 				{ 					UE_LOGF(LogNiagara, Warning, ""Niagara Setting Override DeviceProfile '%ls'"", *Args[0]); 				} 				else 				{ 					UE_LOGF(LogNiagara, Warning, ""Niagara Failed to Find Override DeviceProfile '%ls'"", *Args[0]); 				} 			} 		} 	)"
fx.Niagara.SetOverrideQualityLevel,Command,string,,fx,通用,All,true,false,false,false,false,,`fx.Niagara.SetOverrideQualityLevel`（可带参数，具体见帮助说明）,"Sets which quality level we should override with, no args means clear the override and return to non overriden quality level). Valid levels are 0-4 (Low-Cinematic)",
fx.Niagara.TaskPriorities.Dump,Command,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.Niagara.TaskPriorities.Dump`（可带参数，具体见帮助说明）,Dump currently set priorities,
fx.Niagara.ValidateDuplicateVariableGuids,Command,string,,fx,通用,All,true,false,false,false,false,,`fx.Niagara.ValidateDuplicateVariableGuids`（可带参数，具体见帮助说明）,Validate the script guids of a given script.,
fx.NiagaraEditor.ReinitializeStyle,Command,string,,fx,通用,All,true,false,false,false,false,,`fx.NiagaraEditor.ReinitializeStyle`（可带参数，具体见帮助说明）,Reinitializes the style for the niagara editor module.  Used in conjuction with live coding for UI tweaks.  May crash the editor if style objects are in use.,
fx.NiagaraEditorWidgets.ReinitializeStyle,Command,string,,fx,通用,All,true,false,false,false,false,,`fx.NiagaraEditorWidgets.ReinitializeStyle`（可带参数，具体见帮助说明）,Reinitializes the style for the niagara editor widgets module.  Used in conjuction with live coding for UI tweaks.  May crash the editor if style objects are in use.,
fx.PreventAllSystemRecompiles,Command,string,,fx,通用,All,true,false,false,false,false,,`fx.PreventAllSystemRecompiles`（可带参数，具体见帮助说明）,Loads all of the systems in the project and forces each system to refresh all it's dependencies so it won't recompile on load.  This may mark multiple assets dirty for re-saving.,
fx.PreventSystemRecompile,Command,string,,fx,通用,All,true,false,false,false,false,,`fx.PreventSystemRecompile`（可带参数，具体见帮助说明）,Forces the system to refresh all it's dependencies so it won't recompile on load.  This may mark multiple assets dirty for re-saving.,
fx.PSCMan.Dump,Command,string,,fx,渲染调试/可视化,All,true,false,false,false,false,,`fx.PSCMan.Dump`（可带参数，具体见帮助说明）,Dumps state information for all current Particle System Managers.,
fx.RebuildDirtyScripts,Command,string,,fx,光线追踪,All,true,false,false,false,false,,`fx.RebuildDirtyScripts`（可带参数，具体见帮助说明）,"Go through all loaded assets and force them to recompute their script hash. If dirty, regenerate.",
fx.TestCompileNiagaraScript,Command,string,,fx,通用,All,true,false,false,false,false,,`fx.TestCompileNiagaraScript`（可带参数，具体见帮助说明）,Compiles the specified script on disk for the niagara vector vm,
fx.UpgradeAllNiagaraAssets,Command,string,,fx,后处理,All,true,false,false,false,false,,`fx.UpgradeAllNiagaraAssets`（可带参数，具体见帮助说明）,Loads all Niagara assets and preforms any data upgrade processes required. This may mark multiple assets dirty for re-saving.,
GenerateNaniteDisplacedMesh,Command,string,,GenerateNaniteDisplacedMesh,Nanite,All,true,false,false,false,false,,`GenerateNaniteDisplacedMesh`（可带参数，具体见帮助说明）,Generate nanite displacement mesh assets,
GPULM.BuildLighting,Command,string,,GPULM,通用,All,true,false,false,false,false,,`GPULM.BuildLighting`（可带参数，具体见帮助说明）,Starts lighting build with GPU Lightmass,
landscape.DumpLODs,Command,string,,landscape,景观/植被,All,true,false,false,false,false,,`landscape.DumpLODs`（可带参数，具体见帮助说明）,Will dump the current status of LOD value and current texture streaming status. Use the -detailed option to include all LOD-related infos,
ListShaderLibraries,Command,string,,ListShaderLibraries,材质,All,true,false,false,false,false,,`ListShaderLibraries`（可带参数，具体见帮助说明）,Spits out a csv table containing stats of all shader libraries,
ListShaderMaps,Command,string,,ListShaderMaps,材质,All,true,false,false,false,false,,`ListShaderMaps`（可带参数，具体见帮助说明）,Spits out a csv table containing stats of all shadermaps,
ListShaders,Command,string,,ListShaders,材质,All,true,false,false,false,false,,`ListShaders`（可带参数，具体见帮助说明）,Spits out a csv table containing stats of all shaders,
MeshPartition.Channels.CaptureNextBatch,Command,string,,MeshPartition,光线追踪,All,true,false,false,false,false,,`MeshPartition.Channels.CaptureNextBatch`（可带参数，具体见帮助说明）,Captures the next Job Batch and launches RenderDoc,
mh.TextureSynthesis.ResetModel,Command,string,,mh,材质,All,true,false,false,false,false,,`mh.TextureSynthesis.ResetModel`（可带参数，具体见帮助说明）,Reset Texture Synthesis by re-loading the model data,
MotionDesign.MaterialCache.DumpMaterials,Command,string,,MotionDesign,材质,All,true,false,false,false,false,,`MotionDesign.MaterialCache.DumpMaterials`（可带参数，具体见帮助说明）,Dumps all the materials that are currently being processed in the Material Cache Helper,
MovieRenderPipeline.DumpCLIEncoderCodecs,Command,string,,MovieRenderPipeline,渲染调试/可视化,All,true,false,false,false,false,,`MovieRenderPipeline.DumpCLIEncoderCodecs`（可带参数，具体见帮助说明）,Dumps the available codecs for use with the Movie Pipeline Command Line Encoder settings dialog.,
nne.hlsl.getoperatorsupportmatrix,Command,string,,nne,光线追踪,All,true,false,false,false,false,,`nne.hlsl.getoperatorsupportmatrix`（可带参数，具体见帮助说明）,Get the NNERuntimeRDGHlsl operators support matrix in term of ONNX.,
p.DumpPhysicalMaterialMaskData,Command,string,,p,材质,All,true,false,false,false,false,,`p.DumpPhysicalMaterialMaskData`（可带参数，具体见帮助说明）,Outputs the current mask data for the specified physical material mask asset to the log.,
ProfileGPU,Command,string,,ProfileGPU,渲染调试/可视化,All,true,false,false,false,false,,`ProfileGPU`（可带参数，具体见帮助说明）,Captures statistics about a frame of GPU work and prints the results to the log.,
r.AOListMemory,Command,string,,r,GI,All,true,false,false,false,false,,`r.AOListMemory`（可带参数，具体见帮助说明）,,
r.AOListMeshDistanceFields,Command,string,,r,GI,All,true,false,false,false,false,,`r.AOListMeshDistanceFields`（可带参数，具体见帮助说明）,,
r.Composure.CompositingElements.Debug.LogSharedTargetsCount,Command,string,,r,渲染调试/可视化,All,true,false,false,false,false,,`r.Composure.CompositingElements.Debug.LogSharedTargetsCount`（可带参数，具体见帮助说明）,Dumps the count of all target currently allocated for the shared target compositing target pool.,
r.ComputeFramework.RebuildComputeGraphs,Command,string,,r,渲染管线,All,true,false,false,false,false,,`r.ComputeFramework.RebuildComputeGraphs`（可带参数，具体见帮助说明）,Force all loaded UComputeGraph objects to rebuild.,
r.CopyLockedViews,Command,string,,r,通用,All,true,false,false,false,false,,`r.CopyLockedViews`（可带参数，具体见帮助说明）,Copies all locked views in to a string that r.LockView will accept to reload them.,
r.d3d11.dumpliveobjects,Command,string,,r,RHI/底层渲染接口,DirectX、Windows,true,false,false,false,false,,`r.d3d11.dumpliveobjects`（可带参数，具体见帮助说明）,When using -d3ddebug will dump a list of live d3d objects.  Mostly for finding leaks.,
r.DumpBufferPoolMemory,Command,string,,r,渲染调试/可视化,All,true,false,false,false,false,,`r.DumpBufferPoolMemory`（可带参数，具体见帮助说明）,Dump allocation information for the buffer pool.,
r.DumpPipelineCache,Command,string,,r,渲染调试/可视化,All,true,false,false,false,false,,`r.DumpPipelineCache`（可带参数，具体见帮助说明）,Dump current cache stats.,
r.DumpRenderTargetPoolMemory,Command,string,,r,光线追踪,All,true,false,false,false,false,,`r.DumpRenderTargetPoolMemory`（可带参数，具体见帮助说明）,Dump allocation information for the render target pool.,
r.DumpShadows,Command,string,,r,阴影,All,true,false,false,false,false,,`r.DumpShadows`（可带参数，具体见帮助说明）,"Dump shadow setup (for developer only, only for non shiping build)",
r.FlushMaterialUniforms,Command,string,,r,材质,All,true,false,false,false,false,,`r.FlushMaterialUniforms`（可带参数，具体见帮助说明）,,
r.InvalidateCachedShaders,Command,string,,r,材质,All,true,false,false,false,false,,`r.InvalidateCachedShaders`（可带参数，具体见帮助说明）,Invalidate shader cache by making a unique change to ShaderVersion.ush which is included in common.usf.,
r.ListSceneColorMaterials,Command,string,,r,后处理,All,true,false,false,false,false,,`r.ListSceneColorMaterials`（可带参数，具体见帮助说明）,Lists all materials that read from scene color.,
r.MaterialCache.VirtualTextureAllocator.Debug.RecreateCoarse,Command,string,,r,光线追踪,All,true,false,false,false,false,,`r.MaterialCache.VirtualTextureAllocator.Debug.RecreateCoarse`（可带参数，具体见帮助说明）,"Debug command, recreate all backing allocations with their most coarse producer",
r.MegaLights.Visualize.LightComplexity.Dump,Command,string,,r,渲染调试/可视化,All,true,false,false,false,false,,`r.MegaLights.Visualize.LightComplexity.Dump`（可带参数，具体见帮助说明）,Dump the list of visualized lights to log.,
r.MeshDrawCommands.DumpStats,Command,string,,r,渲染调试/可视化,All,true,false,false,false,false,,`r.MeshDrawCommands.DumpStats`（可带参数，具体见帮助说明）,Dumps all of the Mesh Draw Command stats for a single frame to a csv file in the saved profile directory.\nOptionally pass in a category string to be appened to the filename,
r.Nanite.Streaming.ResetStreamingPool,Command,string,,r,Nanite,All,true,false,false,false,false,,`r.Nanite.Streaming.ResetStreamingPool`（可带参数，具体见帮助说明）,Resets the Nanite streaming pool on next update.,ECVF_Default
r.OpenGL.PrintProgramStats,Command,string,,r,RHI/底层渲染接口,OpenGL,true,false,false,false,false,,`r.OpenGL.PrintProgramStats`（可带参数，具体见帮助说明）,Print to log current program binary stats,
r.PrintExtensibleUBs,Command,string,,r,渲染调试/可视化,All,true,false,false,false,false,,`r.PrintExtensibleUBs`（可带参数，具体见帮助说明）,Dumps layout of all extensible uniform buffers,
r.PSOPrecache.DumpMaterialStats,Command,string,,r,材质,All,true,false,false,false,false,,`r.PSOPrecache.DumpMaterialStats`（可带参数，具体见帮助说明）,Dumps all currently collected material based PSO precache data to csv file,
r.PSOPrecache.DumpStats,Command,string,,r,渲染调试/可视化,All,true,false,false,false,false,,`r.PSOPrecache.DumpStats`（可带参数，具体见帮助说明）,Dumps all currently collected PSO precache validation stats to csv file,
r.RayTracing.DumpUnreferencedAlwaysResidentGeometries,Command,string,,r,光线追踪,All,true,false,false,false,false,,`r.RayTracing.DumpUnreferencedAlwaysResidentGeometries`（可带参数，具体见帮助说明）,Writes the list of always-resident ray tracing geometries not currently referenced in the ray tracing scene to a CSV file,ECVF_Default
r.RayTracing.Scene.SerializeOnce,Command,string,,r,光线追踪,All,true,false,false,false,false,,`r.RayTracing.Scene.SerializeOnce`（可带参数，具体见帮助说明）,Serialize Ray Tracing Scene to disk.,
r.RayTracing.UpdateCachedState,Command,string,,r,光线追踪,All,true,false,false,false,false,,`r.RayTracing.UpdateCachedState`（可带参数，具体见帮助说明）,Update cached ray tracing state (mesh commands and instances).,
r.RecreateRenderStateContext,Command,string,,r,渲染调试/可视化,All,true,false,false,false,false,,`r.RecreateRenderStateContext`（可带参数，具体见帮助说明）,Recreate render state.,
r.ResetRenderTargetsExtent,Command,string,,r,光线追踪,All,true,false,false,false,false,,`r.ResetRenderTargetsExtent`（可带参数，具体见帮助说明）,To reset internal render target extents,ECVF_Cheat
r.ResetViewState,Command,string,,r,渲染调试/可视化,All,true,false,false,false,false,,`r.ResetViewState`（可带参数，具体见帮助说明）,Reset some state (e.g. TemporalAA index) to make rendering more deterministic (for automated screenshot verification),ECVF_Cheat
r.RHI.Name,Command,string,,r,RHI/底层渲染接口,All,true,false,false,false,false,,`r.RHI.Name`（可带参数，具体见帮助说明）,Show current RHI's name,ECVF_Cheat
r.RHIThread.Enable,Command,string,,r,RHI/底层渲染接口,All,true,false,false,false,false,,`r.RHIThread.Enable`（可带参数，具体见帮助说明）,Enables/disabled the RHI Thread and determine if the RHI work runs on a dedicated thread or not.\n,
r.SceneCapture.DumpMemory,Command,string,,r,渲染调试/可视化,All,true,false,false,false,false,,`r.SceneCapture.DumpMemory`（可带参数，具体见帮助说明）,Editor specific command to dump scene capture memory to log,
r.SetFramePace,Command,string,,r,渲染管线,All,true,false,false,false,false,,`r.SetFramePace`（可带参数，具体见帮助说明）,Set a target frame rate for the frame pacer.,ECVF_Default
r.SetNearClipPlane,Command,string,,r,通用,All,true,false,false,false,false,,`r.SetNearClipPlane`（可带参数，具体见帮助说明）,Set the near clipping plane (in cm),
r.ShaderCompiler.PrintStats,Command,string,,r,材质,All,true,false,false,false,false,,`r.ShaderCompiler.PrintStats`（可带参数，具体见帮助说明）,Prints out to the log the stats for the shader compiler.,ECVF_Default
r.ShaderLibrary.Dump,Command,string,,r,材质,All,true,false,false,false,false,,`r.ShaderLibrary.Dump`（可带参数，具体见帮助说明）,Dumps shader library map.,ECVF_Default
r.ShaderPipelineCache.Close,Command,string,,r,材质,All,true,false,false,false,false,,`r.ShaderPipelineCache.Close`（可带参数，具体见帮助说明）,Close the current pipeline file cache.,
r.ShaderPipelineCache.Open,Command,string,,r,材质,All,true,false,false,false,false,,`r.ShaderPipelineCache.Open`（可带参数，具体见帮助说明）,Close and reopen the user cache.,
r.ShaderPipelineCache.Save,Command,string,,r,材质,All,true,false,false,false,false,,`r.ShaderPipelineCache.Save`（可带参数，具体见帮助说明）,Save the current pipeline file cache.,
r.ShaderPipelineCache.SetBatchMode,Command,string,,r,材质,All,true,false,false,false,false,,`r.ShaderPipelineCache.SetBatchMode`（可带参数，具体见帮助说明）,"Sets the compilation batch mode, which should be one of:\n\tPause: Suspend precompilation.\n\tBackground: Low priority precompilation.\n\tFast: High priority precompilation.",
r.Shadow.Virtual.DumpLightNaniteStats,Command,string,,r,光线追踪,All,true,false,false,false,false,,`r.Shadow.Virtual.DumpLightNaniteStats`（可带参数，具体见帮助说明）,Print per-vsm Nanite cluster counts as a performance profiling tool.,
r.Shadow.Virtual.Stats,Command,string,,r,光线追踪,All,true,false,false,false,false,,`r.Shadow.Virtual.Stats`（可带参数，具体见帮助说明）,Show/hide VSM statistics.\n,
r.Shadow.Virtual.Visualize.DumpLightNames,Command,string,,r,光线追踪,All,true,false,false,false,false,,`r.Shadow.Virtual.Visualize.DumpLightNames`（可带参数，具体见帮助说明）,Dump light names with virtual shadow maps (for developer use in non-shipping builds),
r.Shadow.Virtual.Visualize.NextLight,Command,string,,r,光线追踪,All,true,false,false,false,false,,`r.Shadow.Virtual.Visualize.NextLight`（可带参数，具体见帮助说明）,Set `r.Shadow.Virtual.Visualize.LightName` to the next light.,ECVF_Cheat
r.Shadow.Virtual.Visualize.PrevLight,Command,string,,r,光线追踪,All,true,false,false,false,false,,`r.Shadow.Virtual.Visualize.PrevLight`（可带参数，具体见帮助说明）,Set `r.Shadow.Virtual.Visualize.LightName` to the previous light.,ECVF_Cheat
r.SkylightRecapture,Command,string,,r,通用,All,true,false,false,false,false,,`r.SkylightRecapture`（可带参数，具体见帮助说明）,"Updates all stationary and movable skylights, useful for debugging the capture pipeline",
r.VT.FlushAndEvictFileCache,Command,string,,r,通用,All,true,false,false,false,false,,`r.VT.FlushAndEvictFileCache`（可带参数，具体见帮助说明）,Flush both the virtual texture physical page cache and disk file cache,
r.VT.ForceRecreatePool,Command,string,,r,通用,All,true,false,false,false,false,,`r.VT.ForceRecreatePool`（可带参数，具体见帮助说明）,Forcefully recreates the backing virtual pool,
r.VT.ShowDecodeErrors,Command,string,,r,渲染调试/可视化,All,true,false,false,false,false,,`r.VT.ShowDecodeErrors`（可带参数，具体见帮助说明）,Highlight virtual textures with decode errors in hot pink.,
r.Vulkan.DumpMemory,Command,string,,r,RHI/底层渲染接口,Vulkan,true,false,false,false,false,,`r.Vulkan.DumpMemory`（可带参数，具体见帮助说明）,Dumps memory map.,ECVF_Default
r.Vulkan.DumpMemoryFull,Command,string,,r,RHI/底层渲染接口,Vulkan,true,false,false,false,false,,`r.Vulkan.DumpMemoryFull`（可带参数，具体见帮助说明）,Dumps full memory map.,ECVF_Default
r.Vulkan.DumpPSOLRU,Command,string,,r,RHI/底层渲染接口,Vulkan,true,false,false,false,false,,`r.Vulkan.DumpPSOLRU`（可带参数，具体见帮助说明）,Dumps Vulkan PSO LRU.,ECVF_Default
r.Vulkan.DumpStagingMemory,Command,string,,r,GI,Vulkan,true,false,false,false,false,,`r.Vulkan.DumpStagingMemory`（可带参数，具体见帮助说明）,Dumps staging memory map.,ECVF_Default
r.Vulkan.FlushLog,Command,string,,r,RHI/底层渲染接口,Vulkan,true,false,false,false,false,,`r.Vulkan.FlushLog`（可带参数，具体见帮助说明）,\n,
r.Vulkan.RebuildPipelineCache,Command,string,,r,RHI/底层渲染接口,Vulkan,true,false,false,false,false,,`r.Vulkan.RebuildPipelineCache`（可带参数，具体见帮助说明）,Rebuilds pipeline cache.,ECVF_Default
r.Vulkan.SavePipelineCache,Command,string,,r,RHI/底层渲染接口,Vulkan,true,false,false,false,false,,`r.Vulkan.SavePipelineCache`（可带参数，具体见帮助说明）,Save pipeline cache.,ECVF_Default
r.Vulkan.SaveValidationCache,Command,string,,r,RHI/底层渲染接口,Vulkan,true,false,false,false,false,,`r.Vulkan.SaveValidationCache`（可带参数，具体见帮助说明）,Save validation cache.,ECVF_Default
r.Vulkan.TrimPSOLRU,Command,string,,r,RHI/底层渲染接口,Vulkan,true,false,false,false,false,,`r.Vulkan.TrimPSOLRU`（可带参数，具体见帮助说明）,Trim Vulkan PSO LRU.,ECVF_Default
ReloadGlobalShaders,Command,string,,ReloadGlobalShaders,材质,All,true,false,false,false,false,,`ReloadGlobalShaders`（可带参数，具体见帮助说明）,Reloads the global shaders file,
renderdoc.CaptureFrame,Command,string,,renderdoc,渲染管线,All,true,false,false,false,false,,`renderdoc.CaptureFrame`（可带参数，具体见帮助说明）,Captures the rendering commands of the next frame and launches RenderDoc,
renderdoc.CapturePIE,Command,string,,renderdoc,通用,All,true,false,false,false,false,,`renderdoc.CapturePIE`（可带参数，具体见帮助说明）,Starts a PIE session and captures the specified number of frames from the start.,
renderdoc.TextureGraph_CaptureNextBatch,Command,string,,renderdoc,材质,All,true,false,false,false,false,,`renderdoc.TextureGraph_CaptureNextBatch`（可带参数，具体见帮助说明）,Captures the next Job Batch and launches RenderDoc,
renderdoc.TextureGraph_CaptureNextBatchHistogram,Command,string,,renderdoc,材质,All,true,false,false,false,false,,`renderdoc.TextureGraph_CaptureNextBatchHistogram`（可带参数，具体见帮助说明）,Captures the next Job Batch producing histogram and launches RenderDoc,
renderdoc.TextureGraph_CapturePrevBatch,Command,string,,renderdoc,材质,All,true,false,false,false,false,,`renderdoc.TextureGraph_CapturePrevBatch`（可带参数，具体见帮助说明）,Captures the previous Job Batch and launches RenderDoc,
rhi.DumpMemory,Command,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.DumpMemory`（可带参数，具体见帮助说明）,Dumps RHI memory stats to the log,
rhi.DumpResourceCounts,Command,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.DumpResourceCounts`（可带参数，具体见帮助说明）,Dumps RHI resource counts to the log,
rhi.DumpResourceMemory,Command,string,,rhi,RHI/底层渲染接口,All,true,false,false,false,false,,`rhi.DumpResourceMemory`（可带参数，具体见帮助说明）,Dumps RHI resource memory stats to the log\n,
rhi.Metal.ShaderPipelineCache.Save,Command,string,,rhi,材质,All,true,false,false,false,false,,`rhi.Metal.ShaderPipelineCache.Save`（可带参数，具体见帮助说明）,Save the current pipeline file cache.,
SetGlobalShaderCacheOverrideDirectory,Command,string,,SetGlobalShaderCacheOverrideDirectory,材质,All,true,false,false,false,false,,`SetGlobalShaderCacheOverrideDirectory`（可带参数，具体见帮助说明）,Set the directory to read the override global shader map file from.,
Slate.Commands.ListAll,Command,string,,Slate,通用,All,true,false,false,false,false,,`Slate.Commands.ListAll`（可带参数，具体见帮助说明）,,
Slate.Commands.ListBound,Command,string,,Slate,通用,All,true,false,false,false,false,,`Slate.Commands.ListBound`（可带参数，具体见帮助说明）,,
Slate.Debug.LogAllWidgets,Command,string,,Slate,渲染调试/可视化,All,true,false,false,false,false,,`Slate.Debug.LogAllWidgets`（可带参数，具体见帮助说明）,"Prints all the SWidgets type, debug info, path, painted, ...\n",
Slate.DumpUpdateList,Command,string,,Slate,渲染调试/可视化,All,true,false,false,false,false,,`Slate.DumpUpdateList`（可带参数，具体见帮助说明）,(Deprecated) use Slate.InvalidationRoot.DumpUpdateListOnce,
Slate.Navigation.Simulate,Command,string,,Slate,通用,All,true,false,false,false,false,,`Slate.Navigation.Simulate`（可带参数，具体见帮助说明）,Log the result of what the widget may do when it received a navigation event.,ECVF_Cheat
